"","X_id","CIVIC_CENTRE","MARRIAGE_LICENSES","TIME_PERIOD"
"1",15381,"ET",80,"2011-01"
"2",15382,"NY",136,"2011-01"
"3",15383,"SC",159,"2011-01"
"4",15384,"TO",367,"2011-01"
"5",15385,"ET",109,"2011-02"
"6",15386,"NY",150,"2011-02"
"7",15387,"SC",154,"2011-02"
"8",15388,"TO",383,"2011-02"
"9",15389,"ET",177,"2011-03"
"10",15390,"NY",231,"2011-03"
"11",15391,"SC",213,"2011-03"
"12",15392,"TO",589,"2011-03"
"13",15393,"ET",178,"2011-04"
"14",15394,"NY",277,"2011-04"
"15",15395,"SC",261,"2011-04"
"16",15396,"TO",660,"2011-04"
"17",15397,"ET",263,"2011-05"
"18",15398,"NY",376,"2011-05"
"19",15399,"SC",375,"2011-05"
"20",15400,"TO",871,"2011-05"
"21",15401,"ET",255,"2011-06"
"22",15402,"NY",365,"2011-06"
"23",15403,"SC",334,"2011-06"
"24",15404,"TO",870,"2011-06"
"25",15405,"ET",238,"2011-07"
"26",15406,"NY",364,"2011-07"
"27",15407,"SC",352,"2011-07"
"28",15408,"TO",989,"2011-07"
"29",15409,"ET",257,"2011-08"
"30",15410,"NY",366,"2011-08"
"31",15411,"SC",345,"2011-08"
"32",15412,"TO",965,"2011-08"
"33",15413,"ET",152,"2011-09"
"34",15414,"NY",255,"2011-09"
"35",15415,"SC",276,"2011-09"
"36",15416,"TO",638,"2011-09"
"37",15417,"ET",126,"2011-10"
"38",15418,"NY",201,"2011-10"
"39",15419,"SC",218,"2011-10"
"40",15420,"TO",468,"2011-10"
"41",15421,"ET",103,"2011-11"
"42",15422,"NY",191,"2011-11"
"43",15423,"SC",182,"2011-11"
"44",15424,"TO",340,"2011-11"
"45",15425,"ET",109,"2011-12"
"46",15426,"NY",171,"2011-12"
"47",15427,"SC",149,"2011-12"
"48",15428,"TO",356,"2011-12"
"49",15429,"ET",115,"2012-01"
"50",15430,"NY",176,"2012-01"
"51",15431,"SC",171,"2012-01"
"52",15432,"TO",440,"2012-01"
"53",15433,"ET",134,"2012-02"
"54",15434,"NY",195,"2012-02"
"55",15435,"SC",160,"2012-02"
"56",15436,"TO",390,"2012-02"
"57",15437,"ET",183,"2012-03"
"58",15438,"NY",234,"2012-03"
"59",15439,"SC",243,"2012-03"
"60",15440,"TO",567,"2012-03"
"61",15441,"ET",194,"2012-04"
"62",15442,"NY",225,"2012-04"
"63",15443,"SC",252,"2012-04"
"64",15444,"TO",561,"2012-04"
"65",15445,"ET",217,"2012-05"
"66",15446,"NY",294,"2012-05"
"67",15447,"SC",332,"2012-05"
"68",15448,"TO",807,"2012-05"
"69",15449,"ET",262,"2012-06"
"70",15450,"NY",353,"2012-06"
"71",15451,"SC",340,"2012-06"
"72",15452,"TO",888,"2012-06"
"73",15453,"ET",269,"2012-07"
"74",15454,"NY",404,"2012-07"
"75",15455,"SC",371,"2012-07"
"76",15456,"TO",971,"2012-07"
"77",15457,"ET",251,"2012-08"
"78",15458,"NY",353,"2012-08"
"79",15459,"SC",346,"2012-08"
"80",15460,"TO",980,"2012-08"
"81",15461,"ET",132,"2012-09"
"82",15462,"NY",233,"2012-09"
"83",15463,"SC",215,"2012-09"
"84",15464,"TO",563,"2012-09"
"85",15465,"ET",156,"2012-10"
"86",15466,"NY",208,"2012-10"
"87",15467,"SC",215,"2012-10"
"88",15468,"TO",486,"2012-10"
"89",15469,"ET",85,"2012-11"
"90",15470,"NY",180,"2012-11"
"91",15471,"SC",170,"2012-11"
"92",15472,"TO",391,"2012-11"
"93",15473,"ET",99,"2012-12"
"94",15474,"NY",163,"2012-12"
"95",15475,"SC",158,"2012-12"
"96",15476,"TO",365,"2012-12"
"97",15477,"ET",91,"2013-01"
"98",15478,"NY",169,"2013-01"
"99",15479,"SC",138,"2013-01"
"100",15480,"TO",365,"2013-01"
"101",15481,"ET",90,"2013-02"
"102",15482,"NY",163,"2013-02"
"103",15483,"SC",126,"2013-02"
"104",15484,"TO",346,"2013-02"
"105",15485,"ET",130,"2013-03"
"106",15486,"NY",217,"2013-03"
"107",15487,"SC",188,"2013-03"
"108",15488,"TO",455,"2013-03"
"109",15489,"ET",177,"2013-04"
"110",15490,"NY",298,"2013-04"
"111",15491,"SC",219,"2013-04"
"112",15492,"TO",666,"2013-04"
"113",15493,"ET",223,"2013-05"
"114",15494,"NY",310,"2013-05"
"115",15495,"SC",300,"2013-05"
"116",15496,"TO",748,"2013-05"
"117",15497,"ET",212,"2013-06"
"118",15498,"NY",286,"2013-06"
"119",15499,"SC",303,"2013-06"
"120",15500,"TO",778,"2013-06"
"121",15501,"ET",258,"2013-07"
"122",15502,"NY",450,"2013-07"
"123",15503,"SC",319,"2013-07"
"124",15504,"TO",972,"2013-07"
"125",15505,"ET",244,"2013-08"
"126",15506,"NY",324,"2013-08"
"127",15507,"SC",322,"2013-08"
"128",15508,"TO",931,"2013-08"
"129",15509,"ET",157,"2013-09"
"130",15510,"NY",232,"2013-09"
"131",15511,"SC",233,"2013-09"
"132",15512,"TO",607,"2013-09"
"133",15513,"ET",121,"2013-10"
"134",15514,"NY",163,"2013-10"
"135",15515,"SC",208,"2013-10"
"136",15516,"TO",448,"2013-10"
"137",15517,"ET",92,"2013-11"
"138",15518,"NY",162,"2013-11"
"139",15519,"SC",140,"2013-11"
"140",15520,"TO",315,"2013-11"
"141",15521,"ET",89,"2013-12"
"142",15522,"NY",146,"2013-12"
"143",15523,"SC",130,"2013-12"
"144",15524,"TO",314,"2013-12"
"145",15525,"ET",85,"2014-01"
"146",15526,"NY",186,"2014-01"
"147",15527,"SC",139,"2014-01"
"148",15528,"TO",375,"2014-01"
"149",15529,"ET",93,"2014-02"
"150",15530,"NY",134,"2014-02"
"151",15531,"SC",126,"2014-02"
"152",15532,"TO",364,"2014-02"
"153",15533,"ET",151,"2014-03"
"154",15534,"NY",201,"2014-03"
"155",15535,"SC",180,"2014-03"
"156",15536,"TO",530,"2014-03"
"157",15537,"ET",151,"2014-04"
"158",15538,"NY",240,"2014-04"
"159",15539,"SC",229,"2014-04"
"160",15540,"TO",674,"2014-04"
"161",15541,"ET",219,"2014-05"
"162",15542,"NY",318,"2014-05"
"163",15543,"SC",298,"2014-05"
"164",15544,"TO",847,"2014-05"
"165",15545,"ET",240,"2014-06"
"166",15546,"NY",309,"2014-06"
"167",15547,"SC",315,"2014-06"
"168",15548,"TO",942,"2014-06"
"169",15549,"ET",252,"2014-07"
"170",15550,"NY",348,"2014-07"
"171",15551,"SC",338,"2014-07"
"172",15552,"TO",1024,"2014-07"
"173",15553,"ET",239,"2014-08"
"174",15554,"NY",351,"2014-08"
"175",15555,"SC",288,"2014-08"
